run,name,dataset,total,init,find_core_points,compute_cluster_cores,assign_border_points,remove_noise_points,create_clusters,r,eps
0,QuadTree,e0.8 r0.025,15.108008098999562,0.0646152540066395,14.604389899002854,,,0.0014598989946534,0.4160292939995997,0.025,0.8
1,QuadTree,e0.8 r0.025,19.28754387100344,0.079506020003464,18.890981602002284,,,0.0014453219991992,0.2939068609994137,0.025,0.8
2,QuadTree,e0.8 r0.025,19.230899242000305,0.205357668994111,18.58505419799621,,,0.0013852420015609,0.4168345010039047,0.025,0.8
3,QuadTree,e0.8 r0.025,19.031672031997005,0.0639159009951981,18.65391362200171,,,0.0014022649993421,0.2905409390004934,0.025,0.8
4,QuadTree,e0.8 r0.025,19.24595533899992,0.2128655080014141,18.717284703001496,,,0.0014985920061008,0.2921879950008588,0.025,0.8
0,QuadTree,e0.4 r0.025,10.44266398900072,0.1903729810001095,9.800057477004884,,,0.0026951920008286,0.4279416720019071,0.025,0.4
1,QuadTree,e0.4 r0.025,10.348982985997282,0.0897350679952069,9.93326059899846,,,0.0028881409962195,0.3017307920017629,0.025,0.4
2,QuadTree,e0.4 r0.025,10.65892116399482,0.0640155200017034,10.016179393998756,,,0.0027761649980675,0.4299449899990577,0.025,0.4
3,QuadTree,e0.4 r0.025,10.510276437998982,0.0847991170012392,9.9714741889984,,,0.0028946570018888,0.4293602739999187,0.025,0.4
4,QuadTree,e0.4 r0.025,10.316002277002552,0.0658013639986165,9.917434354996658,,,0.0029131500050425,0.3087703210039763,0.025,0.4
0,QuadTree,e1 r0.1,20.42035221099649,0.0602508169977227,19.765153464999457,,,0.0019557050036382,0.4256726840030751,0.1,1
1,QuadTree,e1 r0.1,20.51802977499756,0.0767106310013332,19.99091953100288,,,0.0020752860000357,0.4274160399945685,0.1,1
2,QuadTree,e1 r0.1,20.791808171998127,0.0621376009949017,20.405380730997425,,,0.0021633609940181,0.3008200830008718,0.1,1
3,QuadTree,e1 r0.1,20.69651750699996,0.2151355169989983,20.027953857003013,,,0.0022313939989544,0.4292621740023605,0.1,1
4,QuadTree,e1 r0.1,20.514385341004527,0.0628620969946496,20.00115355299932,,,0.0021616890007862,0.4266858949995367,0.1,1
0,QuadTree,e1.5 r0.025,27.54559293800412,0.2116093370059388,27.01150903999951,,,0.001112539001042,0.2964345759974094,0.025,1.5
1,QuadTree,e1.5 r0.025,27.478748585002904,0.1894071089991484,26.97249202500097,,,0.0011160020003444,0.2944779440003913,0.025,1.5
2,QuadTree,e1.5 r0.025,27.247209499000743,0.1887033860039082,26.726250314997746,,,0.0010724979947553,0.2906187609987682,0.025,1.5
3,QuadTree,e1.5 r0.025,27.533843543998955,0.2036961580015486,27.01615642000252,,,0.0010146719941985,0.2919016410014592,0.025,1.5
4,QuadTree,e1.5 r0.025,27.46422295299999,0.1914417219959432,26.95303462899756,,,0.0010273700027028,0.2970799489994533,0.025,1.5
0,QuadTree,e2 r0.025,27.935006436004187,0.2177651189995231,27.259759428001416,,,0.0009510119998594,0.3088028929996653,0.025,2
1,QuadTree,e2 r0.025,27.5180786580022,0.0672625430015614,26.992838036996545,,,0.0009240790022886,0.4351194449991453,0.025,2
2,QuadTree,e2 r0.025,27.78895120400557,0.0871196950029116,27.245840693998616,,,0.0009667880003689,0.4328647420043126,0.025,2
3,QuadTree,e2 r0.025,27.525765600999875,0.1914617680013179,27.002680128003703,,,0.0009477310013608,0.3086166029970627,0.025,2
4,QuadTree,e2 r0.025,27.74515317299665,0.2093924440050614,27.20442985599948,,,0.0010099439969053,0.3083255660021677,0.025,2
0,QuadTree,e0.8 r0.1,17.437005954001506,0.1890274170000339,16.8084375690014,,,0.0030411269981414,0.4150620940054068,0.1,0.8
1,QuadTree,e0.8 r0.1,17.3133302080023,0.0604304939988651,16.9248630400034,,,0.0027537239948287,0.2876118179992772,0.1,0.8
2,QuadTree,e0.8 r0.1,17.457876189997478,0.2026757669955259,16.81673534100264,,,0.0029278919973876,0.4146366580025642,0.1,0.8
3,QuadTree,e0.8 r0.1,17.50775384699955,0.0628233480019844,16.99950717700267,,,0.0029072779943817,0.4206836720040883,0.1,0.8
4,QuadTree,e0.8 r0.1,17.541790916002356,0.2143920000016805,17.010929680996924,,,0.0031399379950016,0.2899369439983275,0.1,0.8
0,QuadTree,e0.2 r0.4,3.911738788003277,0.185937924994505,3.31670208399737,,,0.1479199769964907,0.1127756499990937,0.4,0.2
1,QuadTree,e0.2 r0.4,3.810838519006211,0.0815453360046376,3.448135340004228,,,0.0243000139962532,0.2350193550009862,0.4,0.2
2,QuadTree,e0.2 r0.4,3.783832291002909,0.1894571980010369,3.313618563995988,,,0.0235663239946006,0.2351060270011657,0.4,0.2
3,QuadTree,e0.2 r0.4,3.92313614700106,0.0585444300013477,3.44466693099821,,,0.0227307669993024,0.2353516399962245,0.4,0.2
4,QuadTree,e0.2 r0.4,3.828911577002145,0.075642351002898,3.4742867839959217,,,0.022756261001632,0.2356154160006554,0.4,0.2
0,QuadTree,e2 r0.4,20.932262024995,0.1887915109982714,20.28913145200204,,,0.0007336050039157,0.4288375460018869,0.4,2
1,QuadTree,e2 r0.4,20.775133476003248,0.2092831219997606,20.249259718002577,,,0.0007634549983777,0.2935145559968077,0.4,2
2,QuadTree,e2 r0.4,20.956694911998056,0.1863836690026801,20.33007600699784,,,0.0007304680038942,0.4180940430014743,0.4,2
3,QuadTree,e2 r0.4,20.76971667199541,0.0858920649989158,20.24317261300166,,,0.0007870170011301,0.4181683030037675,0.4,2
4,QuadTree,e2 r0.4,20.71379756499664,0.0621553230012068,20.21144156299852,,,0.0007834900025045,0.2932484050033963,0.4,2
0,QuadTree,e2 r0.1,25.779512380999225,0.0601696509984321,25.27449231799983,,,0.0006924530025571,0.4035329449980054,0.1,2
1,QuadTree,e2 r0.1,26.050856405003287,0.077941039999132,25.67385308200028,,,0.0007212290001916,0.2771269280056003,0.1,2
2,QuadTree,e2 r0.1,26.011797794002632,0.1905394789937418,25.52170089800348,,,0.0007191389959189,0.2775465920058195,0.1,2
3,QuadTree,e2 r0.1,26.189486862000194,0.2173447070017573,25.54708363900136,,,0.0007907360050012,0.4029261839968967,0.1,2
4,QuadTree,e2 r0.1,25.81808494199504,0.063823621996562,25.44676031899872,,,0.000761078998039,0.2853457289966172,0.1,2
0,QuadTree,e0.6 r0.025,15.191899637997269,0.2136305809981422,14.537016890004452,,,0.0019067100001848,0.4170093939974322,0.025,0.6
1,QuadTree,e0.6 r0.025,14.989025164002667,0.0672102850003284,14.4780435749999,,,0.0017461080060456,0.4202095509972423,0.025,0.6
